Sample_ID	Date_Collected	Month	Year	Station	Sample_Type	Experiment	Chl	Extraction_Date	Amplification	Enough_reads
BIE2018_0388	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0391	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0392	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0393	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0394	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2017_0046	31-Aug-17	August	2017	EC885	Whole Water	Mesocosm	17.4	NA	NA	Yes
BIE2017_0047	31-Aug-17	August	2017	EC885	Whole Water	Mesocosm	17.4	NA	NA	Yes
BIE2017_0048	31-Aug-17	August	2017	EC885	Whole Water	Mesocosm	17.4	NA	NA	Yes
BIE2017_0049	31-Aug-17	August	2017	EC885	Whole Water	Mesocosm	17.4	NA	NA	Yes
SRR4619372	4-Aug-14	August	2014	WE4	100um ret	Field	18.11	NA	NA	Yes
SRR3385639	4-Aug-14	August	2014	WE4	Whole Water	Field	18.11	NA	NA	Yes
SRR4619362	15-Sep-14	September	2014	WE12	100um ret	Field	18.49	NA	NA	Yes
SRR3385655	15-Sep-14	September	2014	WE12	Whole Water	Field	18.49	NA	NA	Yes
SRR4619352	21-Jul-14	July	2014	WE12	100um ret	Field	18.62	NA	NA	Yes
SRR4619337	30-Jun-14	June	2014	WE2	100um ret	Field	19.94	NA	NA	Yes
SRR3385649	30-Jun-14	June	2014	WE2	Whole Water	Field	19.94	NA	NA	Yes
BIE2017_0030	1-Aug-17	August	2017	WE2	Whole Water	Mesocosm	20.1	NA	NA	Yes
BIE2017_0031	1-Aug-17	August	2017	WE2	Whole Water	Mesocosm	20.1	NA	NA	Yes
