Sample_ID	Date_Collected	Month	Year	Station	Sample_Type	Experiment	Chl	Extraction_Date	Amplification	Enough_reads
E2019_1026_2	26-Jul-19	July	2019	Unnamed2	Whole Water	Mesocosm	180	NA	NA	Yes
E2019_1027_1	26-Jul-19	July	2019	Unnamed2	Whole Water	Mesocosm	180	NA	NA	Yes
E2019_1027_2	26-Jul-19	July	2019	Unnamed2	Whole Water	Mesocosm	180	NA	NA	Yes
MC2019_0044	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0047	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0049	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0051	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0052	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0054	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0055	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0056	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0057	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	No
MC2019_0058	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0062	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0064	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0066	5-Aug-19	August	2019	WE8	Colony	Colony	NA	12-Dec-19	Yes	Yes
MC2019_0067	5-Aug-19	August	2019	WE8	PBS Blank	Colony	NA	12-Dec-19	No	No
E2019_1078_1	6-Aug-19	August	2019	Unnamed4	filtered	Mesocosm	NA	NA	NA	Yes
