sample	r1	r2
SRR1697829	SRR1697829_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697829_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697830	SRR1697830_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697830_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697831	SRR1697831_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697831_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697832	SRR1697832_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697832_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697833	SRR1697833_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697833_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697835	SRR1697835_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697835_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697836	SRR1697836_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697836_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697837	SRR1697837_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697837_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697838	SRR1697838_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697838_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697839	SRR1697839_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697839_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697840	SRR1697840_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697840_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697841	SRR1697841_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697841_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697842	SRR1697842_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697842_Metagenomics_of_freshwater_metagenome_2.fastq
SRR5641465	SRR5641465_bacteria_in_lake_Taihu_1.fastq	SRR5641465_bacteria_in_lake_Taihu_2.fastq
SRR5643665	SRR5643665_bacteira_in_Lake_Taihu_1.fastq	SRR5643665_bacteira_in_Lake_Taihu_2.fastq
SRR5643666	SRR5643666_bacteria_in_lake_Taihu_1.fastq	SRR5643666_bacteria_in_lake_Taihu_2.fastq
SRR5643667	SRR5643667_bacteria_in_lake_taihu_1.fastq	SRR5643667_bacteria_in_lake_taihu_2.fastq
SRR5643672	SRR5643672_bacteira_in_lake_taihu_1.fastq	SRR5643672_bacteira_in_lake_taihu_2.fastq
SRR5643673	SRR5643673_bacteria_in_lake_taihu_1.fastq	SRR5643673_bacteria_in_lake_taihu_2.fastq
SRR5643674	SRR5643674_bacteria_in_lake_taihu_1.fastq	SRR5643674_bacteria_in_lake_taihu_2.fastq
SRR5643675	SRR5643675_bacteria_in_lake_taihu_1.fastq	SRR5643675_bacteria_in_lake_taihu_2.fastq
SRR5643676	SRR5643676_bacteria_in_lake_taihu_1.fastq	SRR5643676_bacteria_in_lake_taihu_2.fastq
SRR5643677	SRR5643677_bacteria_in_lake_taihu_1.fastq	SRR5643677_bacteria_in_lake_taihu_2.fastq
SRR5643678	SRR5643678_bacteria_in_lake_taihu_1.fastq	SRR5643678_bacteria_in_lake_taihu_2.fastq
SRR5643743	SRR5643743_bacteria_in_lake_taihu_1.fastq	SRR5643743_bacteria_in_lake_taihu_2.fastq
SRR5643744	SRR5643744_bacteria_in_lake_taihu_1.fastq	SRR5643744_bacteria_in_lake_taihu_2.fastq
SRR5643745	SRR5643745_bacteria_in_lake_taihu_1.fastq	SRR5643745_bacteria_in_lake_taihu_2.fastq
SRR5643930	SRR5643930_bacteria_in_lake_taihu_1.fastq	SRR5643930_bacteria_in_lake_taihu_2.fastq
SRR5643931	SRR5643931_bacteria_in_lake_taihu_1.fastq	SRR5643931_bacteria_in_lake_taihu_2.fastq
SRR5643932	SRR5643932_bacteria_in_lake_taihu_1.fastq	SRR5643932_bacteria_in_lake_taihu_2.fastq
SRR5643933	SRR5643933_bacteria_in_lake_taihu_1.fastq	SRR5643933_bacteria_in_lake_taihu_2.fastq
SRR5643934	SRR5643934_bacteria_in_lake_taihu_1.fastq	SRR5643934_bacteria_in_lake_taihu_2.fastq
SRR5643935	SRR5643935_bacteria_in_lake_taihu_1.fastq	SRR5643935_bacteria_in_lake_taihu_2.fastq
SRR5643936	SRR5643936_bacteria_in_lake_taihu_1.fastq	SRR5643936_bacteria_in_lake_taihu_2.fastq
SRR5643937	SRR5643937_bacteria_in_lake_taihu_1.fastq	SRR5643937_bacteria_in_lake_taihu_2.fastq
SRR5643938	SRR5643938_bacteria_in_lake_taihu_1.fastq	SRR5643938_bacteria_in_lake_taihu_2.fastq
SRR5644039	SRR5644039_bacteria_in_lake_taihu_1.fastq	SRR5644039_bacteria_in_lake_taihu_2.fastq
SRR5644041	SRR5644041_bacteria_in_lake_taihu_1.fastq	SRR5644041_bacteria_in_lake_taihu_2.fastq
SRR5644042	SRR5644042_bacteria_in_lake_taihu_1.fastq	SRR5644042_bacteria_in_lake_taihu_2.fastq
SRR5644043	SRR5644043_bacteria_in_lake_taihu_1.fastq	SRR5644043_bacteria_in_lake_taihu_2.fastq
SRR5644044	SRR5644044_bacteria_in_lake_taihu_1.fastq	SRR5644044_bacteria_in_lake_taihu_2.fastq
SRR5644045	SRR5644045_bacteira_in_lake_taihu_1.fastq	SRR5644045_bacteira_in_lake_taihu_2.fastq
SRR5644046	SRR5644046_bacteira_in_lake_taihu_1.fastq	SRR5644046_bacteira_in_lake_taihu_2.fastq
SRR5644047	SRR5644047_bacteira_in_lake_taihu_1.fastq	SRR5644047_bacteira_in_lake_taihu_2.fastq
SRR5644049	SRR5644049_bacteira_in_lake_taihu_1.fastq	SRR5644049_bacteira_in_lake_taihu_2.fastq
SRR5644050	SRR5644050_bacteira_in_lake_taihu_1.fastq	SRR5644050_bacteira_in_lake_taihu_2.fastq
SRR5644051	SRR5644051_bacteria_in_lake_taihu_1.fastq	SRR5644051_bacteria_in_lake_taihu_2.fastq
SRR5644052	SRR5644052_bacteria_in_lake_taihu_1.fastq	SRR5644052_bacteria_in_lake_taihu_2.fastq
SRR5644053	SRR5644053_bacteria_in_lake_taihu_1.fastq	SRR5644053_bacteria_in_lake_taihu_2.fastq
SRR5644054	SRR5644054_bacteria_in_lake_taihu_1.fastq	SRR5644054_bacteria_in_lake_taihu_2.fastq
SRR5644057	SRR5644057_bacteria_in_lake_taihu_1.fastq	SRR5644057_bacteria_in_lake_taihu_2.fastq
SRR5644058	SRR5644058_bacteria_in_lake_taihu_1.fastq	SRR5644058_bacteria_in_lake_taihu_2.fastq
SRR5644059	SRR5644059_bacteria_in_lake_taihu_1.fastq	SRR5644059_bacteria_in_lake_taihu_2.fastq
SRR7472463	SRR7472463_1609_MG1_C_1.fastq	SRR7472463_1609_MG1_C_2.fastq
SRR7472464	SRR7472464_1609_MG2_A_1.fastq	SRR7472464_1609_MG2_A_2.fastq
SRR7472465	SRR7472465_1609_MG2_C_1.fastq	SRR7472465_1609_MG2_C_2.fastq
SRR7472466	SRR7472466_1609_USF_A_1.fastq	SRR7472466_1609_USF_A_2.fastq
SRR7472467	SRR7472467_1609_USF_C_1.fastq	SRR7472467_1609_USF_C_2.fastq
SRR7472468	SRR7472468_1610_MG1_A_1.fastq	SRR7472468_1610_MG1_A_2.fastq
SRR7472469	SRR7472469_1610_MG1_C_1.fastq	SRR7472469_1610_MG1_C_2.fastq
SRR7472470	SRR7472470_1610_MG2_A_1.fastq	SRR7472470_1610_MG2_A_2.fastq
SRR7472471	SRR7472471_1610_MG2_C_1.fastq	SRR7472471_1610_MG2_C_2.fastq
SRR7472472	SRR7472472_1610_USF_A_1.fastq	SRR7472472_1610_USF_A_2.fastq
SRR7472473	SRR7472473_1707_USF_A_1.fastq	SRR7472473_1707_USF_A_2.fastq
SRR7472474	SRR7472474_1608_USF_A_1.fastq	SRR7472474_1608_USF_A_2.fastq
SRR7472475	SRR7472475_1705_MG1_A_1.fastq	SRR7472475_1705_MG1_A_2.fastq
SRR7472476	SRR7472476_1704_MG2_A_1.fastq	SRR7472476_1704_MG2_A_2.fastq
SRR7472477	SRR7472477_1708_MG2_A_1.fastq	SRR7472477_1708_MG2_A_2.fastq
SRR7472478	SRR7472478_1708_USF_C_1.fastq	SRR7472478_1708_USF_C_2.fastq
SRR7472479	SRR7472479_1707_MG2_A_1.fastq	SRR7472479_1707_MG2_A_2.fastq
SRR7472480	SRR7472480_1704_USF_C_1.fastq	SRR7472480_1704_USF_C_2.fastq
SRR7472481	SRR7472481_1706_USF_C_1.fastq	SRR7472481_1706_USF_C_2.fastq
SRR7472482	SRR7472482_1707_MG2_C_1.fastq	SRR7472482_1707_MG2_C_2.fastq
SRR7472483	SRR7472483_1705_USF_A_1.fastq	SRR7472483_1705_USF_A_2.fastq
SRR7472484	SRR7472484_1704_MG1_C_1.fastq	SRR7472484_1704_MG1_C_2.fastq
SRR7472485	SRR7472485_1702_MG2_A_1.fastq	SRR7472485_1702_MG2_A_2.fastq
SRR7472486	SRR7472486_1702_MG1_C_1.fastq	SRR7472486_1702_MG1_C_2.fastq
SRR7472487	SRR7472487_1705_MG2_C_1.fastq	SRR7472487_1705_MG2_C_2.fastq
SRR7472488	SRR7472488_1708_MG2_C_1.fastq	SRR7472488_1708_MG2_C_2.fastq
SRR7472489	SRR7472489_1612_USF_A_1.fastq	SRR7472489_1612_USF_A_2.fastq
SRR7472490	SRR7472490_1612_MG2_C_1.fastq	SRR7472490_1612_MG2_C_2.fastq
SRR7472491	SRR7472491_1702_MG1_A_1.fastq	SRR7472491_1702_MG1_A_2.fastq
SRR7472492	SRR7472492_1612_USF_C_1.fastq	SRR7472492_1612_USF_C_2.fastq
SRR7472493	SRR7472493_1612_MG1_A_1.fastq	SRR7472493_1612_MG1_A_2.fastq
SRR7472494	SRR7472494_1610_USF_C_1.fastq	SRR7472494_1610_USF_C_2.fastq
SRR7472495	SRR7472495_1612_MG2_A_1.fastq	SRR7472495_1612_MG2_A_2.fastq
SRR7472496	SRR7472496_1612_MG1_C_1.fastq	SRR7472496_1612_MG1_C_2.fastq
SRR7472497	SRR7472497_1708_USF_A_1.fastq	SRR7472497_1708_USF_A_2.fastq
SRR7472498	SRR7472498_1708_MG1_C_1.fastq	SRR7472498_1708_MG1_C_2.fastq
SRR7472499	SRR7472499_1706_MG1_C_1.fastq	SRR7472499_1706_MG1_C_2.fastq
SRR7472500	SRR7472500_1708_MG1_A_1.fastq	SRR7472500_1708_MG1_A_2.fastq
SRR7472501	SRR7472501_1706_MG2_A_1.fastq	SRR7472501_1706_MG2_A_2.fastq
SRR7472502	SRR7472502_1704_USF_A_1.fastq	SRR7472502_1704_USF_A_2.fastq
SRR7472503	SRR7472503_1608_MG2_A_1.fastq	SRR7472503_1608_MG2_A_2.fastq
SRR7472504	SRR7472504_1707_USF_C_1.fastq	SRR7472504_1707_USF_C_2.fastq
SRR7472505	SRR7472505_1704_MG2_C_1.fastq	SRR7472505_1704_MG2_C_2.fastq
SRR7472506	SRR7472506_1607_MG2_A_1.fastq	SRR7472506_1607_MG2_A_2.fastq
SRR7472507	SRR7472507_1607_USF_A_1.fastq	SRR7472507_1607_USF_A_2.fastq
SRR7472508	SRR7472508_1608_MG1_A_1.fastq	SRR7472508_1608_MG1_A_2.fastq
SRR7472509	SRR7472509_1707_MG1_C_1.fastq	SRR7472509_1707_MG1_C_2.fastq
SRR7472510	SRR7472510_1606_MG1_A_1.fastq	SRR7472510_1606_MG1_A_2.fastq
SRR7472511	SRR7472511_1606_MG2_A_1.fastq	SRR7472511_1606_MG2_A_2.fastq
SRR7472512	SRR7472512_1606_USF_A_1.fastq	SRR7472512_1606_USF_A_2.fastq
SRR7472513	SRR7472513_1607_MG1_A_1.fastq	SRR7472513_1607_MG1_A_2.fastq
SRR7472514	SRR7472514_1705_MG2_A_1.fastq	SRR7472514_1705_MG2_A_2.fastq
SRR7472515	SRR7472515_1609_MG1_A_1.fastq	SRR7472515_1609_MG1_A_2.fastq
SRR7472516	SRR7472516_1706_MG2_C_1.fastq	SRR7472516_1706_MG2_C_2.fastq
SRR7472517	SRR7472517_1706_USF_A_1.fastq	SRR7472517_1706_USF_A_2.fastq
SRR7472518	SRR7472518_1705_MG1_C_1.fastq	SRR7472518_1705_MG1_C_2.fastq
SRR7472519	SRR7472519_1707_MG1_A_1.fastq	SRR7472519_1707_MG1_A_2.fastq
SRR7472520	SRR7472520_1705_USF_C_1.fastq	SRR7472520_1705_USF_C_2.fastq
SRR7472521	SRR7472521_1706_MG1_A_1.fastq	SRR7472521_1706_MG1_A_2.fastq
SRR7472522	SRR7472522_1703_USF_C_1.fastq	SRR7472522_1703_USF_C_2.fastq
SRR7472523	SRR7472523_1704_MG1_A_1.fastq	SRR7472523_1704_MG1_A_2.fastq
SRR7472524	SRR7472524_1703_MG2_C_1.fastq	SRR7472524_1703_MG2_C_2.fastq
SRR7472525	SRR7472525_1703_USF_A_1.fastq	SRR7472525_1703_USF_A_2.fastq
SRR7472526	SRR7472526_1703_MG1_C_1.fastq	SRR7472526_1703_MG1_C_2.fastq
SRR7472527	SRR7472527_1703_MG2_A_1.fastq	SRR7472527_1703_MG2_A_2.fastq
SRR7472528	SRR7472528_1702_USF_C_1.fastq	SRR7472528_1702_USF_C_2.fastq
SRR7472529	SRR7472529_1703_MG1_A_1.fastq	SRR7472529_1703_MG1_A_2.fastq
SRR7472530	SRR7472530_1702_MG2_C_1.fastq	SRR7472530_1702_MG2_C_2.fastq
SRR7472531	SRR7472531_1702_USF_A_1.fastq	SRR7472531_1702_USF_A_2.fastq
SRR10206157A	SRR10206157_Chaohu.A_1.fastq	SRR10206157_Chaohu.A_2.fastq
SRR10206157B	SRR10206157_Chaohu.B_1.fastq	SRR10206157_Chaohu.B_2.fastq
SRR10206157C	SRR10206157_Chaohu.C_1.fastq	SRR10206157_Chaohu.C_2.fastq
SRR10230148A	SRR10230148_Villerest.A_1.fastq	SRR10230148_Villerest.A_2.fastq
SRR10230148B	SRR10230148_Villerest.B_1.fastq	SRR10230148_Villerest.B_2.fastq
SRR10230148C	SRR10230148_Villerest.C_1.fastq	SRR10230148_Villerest.C_2.fastq
SRR10230149A	SRR10230149_Rotoehu.A_1.fastq	SRR10230149_Rotoehu.A_2.fastq
SRR10230149B	SRR10230149_Rotoehu.B_1.fastq	SRR10230149_Rotoehu.B_2.fastq
SRR10230149C	SRR10230149_Rotoehu.C_1.fastq	SRR10230149_Rotoehu.C_2.fastq
SRR10230150A	SRR10230150_Kinneret.A_1.fastq	SRR10230150_Kinneret.A_2.fastq
SRR10230150B	SRR10230150_Kinneret.B_1.fastq	SRR10230150_Kinneret.B_2.fastq
SRR10230150C	SRR10230150_Kinneret.C_1.fastq	SRR10230150_Kinneret.C_2.fastq
SRR10230151A	SRR10230151_Grand.A_1.fastq	SRR10230151_Grand.A_2.fastq
SRR10230151B	SRR10230151_Grand.B_1.fastq	SRR10230151_Grand.B_2.fastq
SRR10230151C	SRR10230151_Grand.C_1.fastq	SRR10230151_Grand.C_2.fastq
SRR10230152A	SRR10230152_FP23.A_1.fastq	SRR10230152_FP23.A_2.fastq
SRR10230152B	SRR10230152_FP23.B_1.fastq	SRR10230152_FP23.B_2.fastq
SRR10230152C	SRR10230152_FP23.C_1.fastq	SRR10230152_FP23.C_2.fastq
SRR10230153A	SRR10230153_Clarendon.A_1.fastq	SRR10230153_Clarendon.A_2.fastq
SRR10230153B	SRR10230153_Clarendon.B_1.fastq	SRR10230153_Clarendon.B_2.fastq
SRR10230153C	SRR10230153_Clarendon.C_1.fastq	SRR10230153_Clarendon.C_2.fastq
SRR10230154A	SRR10230154_Belso-to.A_1.fastq	SRR10230154_Belso-to.A_2.fastq
SRR10230154B	SRR10230154_Belso-to.B_1.fastq	SRR10230154_Belso-to.B_2.fastq
SRR10230154C	SRR10230154_Belso-to.C_1.fastq	SRR10230154_Belso-to.C_2.fastq
SRR10230155A	SRR10230155_Aasee.A_1.fastq	SRR10230155_Aasee.A_2.fastq
SRR10230155B	SRR10230155_Aasee.B_1.fastq	SRR10230155_Aasee.B_2.fastq
SRR10230155C	SRR10230155_Aasee.C_1.fastq	SRR10230155_Aasee.C_2.fastq
SRR5246902	SRR5246902_29.08.08.2-R1.fastq_1.fastq	SRR5246902_29.08.08.2-R1.fastq_2.fastq
SRR5246903	SRR5246903_29.08.08.1-R1.fastq_1.fastq	SRR5246903_29.08.08.1-R1.fastq_2.fastq
SRR5246904	SRR5246904_29.08.07.2-R1.fastq_1.fastq	SRR5246904_29.08.07.2-R1.fastq_2.fastq
SRR5246905	SRR5246905_29.07.2009.2d-R1.fastq_1.fastq	SRR5246905_29.07.2009.2d-R1.fastq_2.fastq
SRR5246906	SRR5246906_28.07.2008.3d-R1.fastq_1.fastq	SRR5246906_28.07.2008.3d-R1.fastq_2.fastq
SRR5246907	SRR5246907_27.10.08.2-R1.fastq_1.fastq	SRR5246907_27.10.08.2-R1.fastq_2.fastq
SRR5246908	SRR5246908_27.10.08.1-R1.fastq_1.fastq	SRR5246908_27.10.08.1-R1.fastq_2.fastq
SRR5246909	SRR5246909_27.08.13.2-R1.fastq_1.fastq	SRR5246909_27.08.13.2-R1.fastq_2.fastq
SRR5246910	SRR5246910_27.08.13.1-R1.fastq_1.fastq	SRR5246910_27.08.13.1-R1.fastq_2.fastq
SRR5246911	SRR5246911_27.06.06.2-R1.fastq_1.fastq	SRR5246911_27.06.06.2-R1.fastq_2.fastq
SRR5246912	SRR5246912_27.06.06.1-R1.fastq_1.fastq	SRR5246912_27.06.06.1-R1.fastq_2.fastq
SRR5246913	SRR5246913_26.09.2006.1b-R1.fastq_1.fastq	SRR5246913_26.09.2006.1b-R1.fastq_2.fastq
SRR5246914	SRR5246914_26.09.07.2-R1.fastq_1.fastq	SRR5246914_26.09.07.2-R1.fastq_2.fastq
SRR5246915	SRR5246915_26.09.07.1-R1.fastq_1.fastq	SRR5246915_26.09.07.1-R1.fastq_2.fastq
SRR5246916	SRR5246916_26.07.10.1-R1.fastq_2.fastq	SRR5246916_26.07.10.1-R1.fastq_1.fastq
SRR5246917	SRR5246917_25.07.2009.p2-R1.fastq_2.fastq	SRR5246917_25.07.2009.p2-R1.fastq_1.fastq
SRR5246918	SRR5246918_25.07.2009.b-R1.fastq_1.fastq	SRR5246918_25.07.2009.b-R1.fastq_2.fastq
SRR5246919	SRR5246919_25.07.06.1-R1.fastq_2.fastq	SRR5246919_25.07.06.1-R1.fastq_1.fastq
SRR5246920	SRR5246920_25.06.2008.b-R1.fastq_2.fastq	SRR5246920_25.06.2008.b-R1.fastq_1.fastq
SRR5246921	SRR5246921_25.06.2008.a-R1.fastq_2.fastq	SRR5246921_25.06.2008.a-R1.fastq_1.fastq
SRR5246922	SRR5246922_24.04.12.1-R1.fastq_2.fastq	SRR5246922_24.04.12.1-R1.fastq_1.fastq
SRR5246923	SRR5246923_23.10.13.2-R1.fastq_2.fastq	SRR5246923_23.10.13.2-R1.fastq_1.fastq
SRR5246924	SRR5246924_23.10.13.1-R1.fastq_2.fastq	SRR5246924_23.10.13.1-R1.fastq_1.fastq
SRR5246925	SRR5246925_23.09.2009.2-R1.fastq_2.fastq	SRR5246925_23.09.2009.2-R1.fastq_1.fastq
SRR5246926	SRR5246926_23.09.2009.1-R1.fastq_2.fastq	SRR5246926_23.09.2009.1-R1.fastq_1.fastq
SRR5246927	SRR5246927_23.08.11.2-R1.fastq_2.fastq	SRR5246927_23.08.11.2-R1.fastq_1.fastq
SRR5246928	SRR5246928_23.08.11.1-R1.fastq_2.fastq	SRR5246928_23.08.11.1-R1.fastq_1.fastq
SRR5246929	SRR5246929_22.08.2009.p1-R1.fastq_1.fastq	SRR5246929_22.08.2009.p1-R1.fastq_2.fastq
SRR5246930	SRR5246930_22.08.2009.1-R1.fastq_1.fastq	SRR5246930_22.08.2009.1-R1.fastq_2.fastq
SRR5246931	SRR5246931_22.08.10.1-R1.fastq_1.fastq	SRR5246931_22.08.10.1-R1.fastq_2.fastq
SRR5246932	SRR5246932_22.08.07.2-R1.fastq_1.fastq	SRR5246932_22.08.07.2-R1.fastq_2.fastq
SRR5246933	SRR5246933_22.08.07.1-R1.fastq_1.fastq	SRR5246933_22.08.07.1-R1.fastq_2.fastq
SRR5246934	SRR5246934_22.08.06.2-R1.fastq_1.fastq	SRR5246934_22.08.06.2-R1.fastq_2.fastq
SRR5246935	SRR5246935_22.08.06.1-R1.fastq_1.fastq	SRR5246935_22.08.06.1-R1.fastq_2.fastq
SRR5246936	SRR5246936_22.05.08.1-R1.fastq_2.fastq	SRR5246936_22.05.08.1-R1.fastq_1.fastq
SRR5246937	SRR5246937_21.06.2011.2-R1.fastq_2.fastq	SRR5246937_21.06.2011.2-R1.fastq_1.fastq
SRR5246938	SRR5246938_21.06.2011.1-R1.fastq_2.fastq	SRR5246938_21.06.2011.1-R1.fastq_1.fastq
SRR5246939	SRR5246939_20.07.2012.2-R1.fastq_2.fastq	SRR5246939_20.07.2012.2-R1.fastq_1.fastq
SRR5246940	SRR5246940_20.07.2012.1-R1.fastq_2.fastq	SRR5246940_20.07.2012.1-R1.fastq_1.fastq
SRR5246941	SRR5246941_20.05.2009.2-R1.fastq_2.fastq	SRR5246941_20.05.2009.2-R1.fastq_1.fastq
SRR5246942	SRR5246942_20.05.2009.1-R1.fastq_2.fastq	SRR5246942_20.05.2009.1-R1.fastq_1.fastq
SRR5246943	SRR5246943_19.10.10.2-R1.fastq_2.fastq	SRR5246943_19.10.10.2-R1.fastq_1.fastq
SRR5246944	SRR5246944_19.10.10.1-R1.fastq_2.fastq	SRR5246944_19.10.10.1-R1.fastq_1.fastq
SRR5246945	SRR5246945_19.09.07.2-R1.fastq_2.fastq	SRR5246945_19.09.07.2-R1.fastq_1.fastq
SRR5246946	SRR5246946_19.09.07.1-R1.fastq_2.fastq	SRR5246946_19.09.07.1-R1.fastq_1.fastq
SRR5246947	SRR5246947_19.07.11.2-R1.fastq_2.fastq	SRR5246947_19.07.11.2-R1.fastq_1.fastq
SRR5246948	SRR5246948_19.07.11.1-R1.fastq_2.fastq	SRR5246948_19.07.11.1-R1.fastq_1.fastq
SRR5246949	SRR5246949_19.06.2009.2-R1.fastq_2.fastq	SRR5246949_19.06.2009.2-R1.fastq_1.fastq
SRR5246950	SRR5246950_19.06.2009.1-R1.fastq_2.fastq	SRR5246950_19.06.2009.1-R1.fastq_1.fastq
SRR5246951	SRR5246951_18.08.2008.4d-R1.fastq_2.fastq	SRR5246951_18.08.2008.4d-R1.fastq_1.fastq
SRR5246952	SRR5246952_18.08.2008.2d-R1.fastq_2.fastq	SRR5246952_18.08.2008.2d-R1.fastq_1.fastq
SRR5246953	SRR5246953_17.10.2012.2-R1.fastq_2.fastq	SRR5246953_17.10.2012.2-R1.fastq_1.fastq
SRR5246954	SRR5246954_17.10.2012.1-R1.fastq_2.fastq	SRR5246954_17.10.2012.1-R1.fastq_1.fastq
SRR5246955	SRR5246955_17.09.2012.2-R1.fastq_2.fastq	SRR5246955_17.09.2012.2-R1.fastq_1.fastq
SRR5246956	SRR5246956_17.09.2008.3b-R1.fastq_2.fastq	SRR5246956_17.09.2008.3b-R1.fastq_1.fastq
SRR5246957	SRR5246957_17.09.2008.1d-R1.fastq_2.fastq	SRR5246957_17.09.2008.1d-R1.fastq_1.fastq
SRR5246958	SRR5246958_17.09.13.2-R1.fastq_2.fastq	SRR5246958_17.09.13.2-R1.fastq_1.fastq
SRR5246959	SRR5246959_17.09.13.1-R1.fastq_2.fastq	SRR5246959_17.09.13.1-R1.fastq_1.fastq
SRR5246960	SRR5246960_16.10.2006.2b-R1.fastq_2.fastq	SRR5246960_16.10.2006.2b-R1.fastq_1.fastq
SRR5246961	SRR5246961_16.09.10.2-R1.fastq_2.fastq	SRR5246961_16.09.10.2-R1.fastq_1.fastq
SRR5246962	SRR5246962_16.09.10.1-R1.fastq_2.fastq	SRR5246962_16.09.10.1-R1.fastq_1.fastq
SRR5246963	SRR5246963_16.09.09.2-R1.fastq_2.fastq	SRR5246963_16.09.09.2-R1.fastq_1.fastq
SRR5246964	SRR5246964_16.09.09.1-R1.fastq_2.fastq	SRR5246964_16.09.09.1-R1.fastq_1.fastq
SRR5246965	SRR5246965_16.08.13.2-R1.fastq_2.fastq	SRR5246965_16.08.13.2-R1.fastq_1.fastq
SRR5246966	SRR5246966_16.08.13.1-R1.fastq_2.fastq	SRR5246966_16.08.13.1-R1.fastq_1.fastq
SRR5246967	SRR5246967_16.06.10.2-R1.fastq_2.fastq	SRR5246967_16.06.10.2-R1.fastq_1.fastq
SRR5246968	SRR5246968_16.06.10.1-R1.fastq_2.fastq	SRR5246968_16.06.10.1-R1.fastq_1.fastq
SRR5246969	SRR5246969_15.10.2009.1-R1.fastq_2.fastq	SRR5246969_15.10.2009.1-R1.fastq_1.fastq
SRR5246970	SRR5246970_15.10.09.p2-R1.fastq_2.fastq	SRR5246970_15.10.09.p2-R1.fastq_1.fastq
SRR5246971	SRR5246971_15.08.2006.2a-R1.fastq_2.fastq	SRR5246971_15.08.2006.2a-R1.fastq_1.fastq
SRR5246972	SRR5246972_15.08.2006.1a-R1.fastq_2.fastq	SRR5246972_15.08.2006.1a-R1.fastq_1.fastq
SRR5246973	SRR5246973_15.07.2008.2-R1.fastq_2.fastq	SRR5246973_15.07.2008.2-R1.fastq_1.fastq
SRR5246974	SRR5246974_15.07.2008-R1.fastq_2.fastq	SRR5246974_15.07.2008-R1.fastq_1.fastq
SRR5246975	SRR5246975_15.05.2011.1-R1.fastq_2.fastq	SRR5246975_15.05.2011.1-R1.fastq_1.fastq
SRR5246976	SRR5246976_14.08.2012.2-R1.fastq_2.fastq	SRR5246976_14.08.2012.2-R1.fastq_1.fastq
SRR5246977	SRR5246977_14.08.2012.1-R1.fastq_2.fastq	SRR5246977_14.08.2012.1-R1.fastq_1.fastq
SRR5246978	SRR5246978_13.06.2006.2c-R1.fastq_2.fastq	SRR5246978_13.06.2006.2c-R1.fastq_1.fastq
SRR5246979	SRR5246979_13.06.2006.1c-R1.fastq_2.fastq	SRR5246979_13.06.2006.1c-R1.fastq_1.fastq
SRR5246980	SRR5246980_12.10.11.2-R1.fastq_2.fastq	SRR5246980_12.10.11.2-R1.fastq_1.fastq
SRR5246981	SRR5246981_12.10.11.1-R1.fastq_2.fastq	SRR5246981_12.10.11.1-R1.fastq_1.fastq
SRR5246982	SRR5246982_12.09.2006.2b-R1.fastq_2.fastq	SRR5246982_12.09.2006.2b-R1.fastq_1.fastq
SRR5246983	SRR5246983_12.09.2006.1a-R1.fastq_2.fastq	SRR5246983_12.09.2006.1a-R1.fastq_1.fastq
SRR5246984	SRR5246984_12.09.11.2-R1.fastq_2.fastq	SRR5246984_12.09.11.2-R1.fastq_1.fastq
SRR5246985	SRR5246985_12.09.11.1-R1.fastq_2.fastq	SRR5246985_12.09.11.1-R1.fastq_1.fastq
SRR5246986	SRR5246986_12.07.2009.2b-R1.fastq_2.fastq	SRR5246986_12.07.2009.2b-R1.fastq_1.fastq
SRR5246987	SRR5246987_12.07.2009.1b-R1.fastq_2.fastq	SRR5246987_12.07.2009.1b-R1.fastq_1.fastq
SRR5246988	SRR5246988_12.07.2006.2b-R1.fastq_2.fastq	SRR5246988_12.07.2006.2b-R1.fastq_1.fastq
SRR5246989	SRR5246989_12.07.2006.1b-R1.fastq_2.fastq	SRR5246989_12.07.2006.1b-R1.fastq_1.fastq
SRR5246990	SRR5246990_12.07.10.2-R1.fastq_2.fastq	SRR5246990_12.07.10.2-R1.fastq_1.fastq
SRR5246991	SRR5246991_12.07.10.1-R1.fastq_2.fastq	SRR5246991_12.07.10.1-R1.fastq_1.fastq
